,Target_test,Prediction_Tree,Prediction_Tree2,Prediction_Logreg,Prediction_Logreg2
1719,0,0,0.0,0,0.05786983225623511
1720,0,0,0.0,1,0.5505261179154344
1721,0,1,1.0,0,0.0967859390597075
1722,0,0,0.0,0,0.05069007472153431
1723,0,0,0.0,0,0.022166434047536883
1724,1,1,1.0,1,0.8139732403924017
1725,1,0,0.0,1,0.7711405809004649
1726,1,0,0.0,0,0.18726907476646915
1727,0,0,0.0,0,0.05508705002971738
1728,0,0,0.0,0,0.01499307466156576
1729,0,1,1.0,1,0.7272747279951124
1730,0,0,0.0,0,0.07758297799831272
1731,0,0,0.0,0,0.018314753264950044
1732,0,0,0.0,0,0.03668981417777189
1733,0,0,0.0,0,0.17269251539884295
1734,0,0,0.0,0,0.01904573180665053
1735,0,0,0.0,0,0.06678281204994893
1736,0,0,0.0,0,0.11427884343828273
1737,0,0,0.0,0,0.00987151014990851
1738,0,1,1.0,1,0.6226757013016238
1739,0,0,0.0,0,0.11544930112903436
1740,1,0,0.0,0,0.05548445318869899
1741,0,0,0.0,0,0.02092843863245945
1742,0,1,1.0,0,0.08677649842541497
1743,0,1,1.0,0,0.12320264173244848
1744,0,0,0.0,0,0.17902381231177666
1745,0,1,1.0,0,0.07985636318957831
1746,0,0,0.0,0,0.019349643577523046
1747,0,0,0.0,0,0.010560620243546058
1748,0,0,0.0,0,0.0172700841714423
1749,0,0,0.0,0,0.10434684354633059
1750,1,0,0.0,0,0.2646988410647527
1751,0,1,1.0,0,0.35054229284509886
1752,0,0,0.0,0,0.16900946271647965
1753,0,0,0.0,0,0.038000024871807966
1754,0,0,0.0,0,0.036527955274753665
1755,0,1,1.0,1,0.6720880846987903
1756,0,0,0.0,0,0.011220915683387442
1757,0,0,0.0,0,0.016329101021721013
1758,0,0,0.0,0,0.0231983528635732
1759,0,1,1.0,0,0.07445006621115044
1760,0,0,0.0,0,0.01387760816801033
1761,0,0,0.0,0,0.015638840607351573
1762,0,0,0.0,0,0.3467721589709403
1763,0,0,0.0,0,0.015969794705961497
1764,0,0,0.0,0,0.057933544570879264
1765,0,0,0.0,0,0.054218780234576415
1766,0,0,0.0,0,0.05700096514770081
1767,0,1,1.0,0,0.4488457426859326
1768,1,1,1.0,1,0.7557175827891043
1769,0,0,0.0,0,0.008845253778490728
